,id,commence_time,home_team,away_team,Player Name,point,over price,under price
38,505781b2259d8ce45cba4e34aecf5d26,2024-11-30 00:40:00+00:00,Minnesota Timberwolves,Los Angeles Clippers,Derrick Jones,9.5,2.0,1.78
39,505781b2259d8ce45cba4e34aecf5d26,2024-11-30 00:40:00+00:00,Minnesota Timberwolves,Los Angeles Clippers,Norman Powell,18.5,1.83,1.94
40,505781b2259d8ce45cba4e34aecf5d26,2024-11-30 00:40:00+00:00,Minnesota Timberwolves,Los Angeles Clippers,Anthony Edwards,26.5,1.96,1.82
41,505781b2259d8ce45cba4e34aecf5d26,2024-11-30 00:40:00+00:00,Minnesota Timberwolves,Los Angeles Clippers,Terance Mann,6.5,1.98,1.8
42,505781b2259d8ce45cba4e34aecf5d26,2024-11-30 00:40:00+00:00,Minnesota Timberwolves,Los Angeles Clippers,Naz Reid,11.5,1.78,2.0
43,505781b2259d8ce45cba4e34aecf5d26,2024-11-30 00:40:00+00:00,Minnesota Timberwolves,Los Angeles Clippers,Rudy Gobert,9.5,1.9,1.87
44,505781b2259d8ce45cba4e34aecf5d26,2024-11-30 00:40:00+00:00,Minnesota Timberwolves,Los Angeles Clippers,Donte DiVincenzo,9.5,1.87,1.9
45,505781b2259d8ce45cba4e34aecf5d26,2024-11-30 00:40:00+00:00,Minnesota Timberwolves,Los Angeles Clippers,Kris Dunn,6.5,1.83,1.94
46,505781b2259d8ce45cba4e34aecf5d26,2024-11-30 00:40:00+00:00,Minnesota Timberwolves,Los Angeles Clippers,Jaden McDaniels,10.5,1.87,1.9
47,505781b2259d8ce45cba4e34aecf5d26,2024-11-30 00:40:00+00:00,Minnesota Timberwolves,Los Angeles Clippers,Julius Randle,21.5,2.0,1.78
48,505781b2259d8ce45cba4e34aecf5d26,2024-11-30 00:40:00+00:00,Minnesota Timberwolves,Los Angeles Clippers,Mike Conley,9.5,1.98,1.8
49,97daad0d675ac67ead333551dac221e7,2024-11-30 01:10:00+00:00,Chicago Bulls,Boston Celtics,Coby White,16.5,1.88,1.88
50,97daad0d675ac67ead333551dac221e7,2024-11-30 01:10:00+00:00,Chicago Bulls,Boston Celtics,Jaylen Brown,24.5,2.04,1.76
51,97daad0d675ac67ead333551dac221e7,2024-11-30 01:10:00+00:00,Chicago Bulls,Boston Celtics,Lonzo Ball,4.5,1.77,2.02
